price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pctChange,changeCategory
321.429993,323.230011,312.769989,316.709991,5721200,316.709991,7/12/2018,TSLA,-0.007054176,-0.007054176,0.220869773,E
315.579987,319.579987,309.25,318.869995,5869800,318.869995,7/13/2018,TSLA,0.006820132,0.006820132,-0.33247489,E
311.709991,315.160004,306.25,310.100006,7818700,310.100006,7/16/2018,TSLA,-0.027503337,-0.027503337,-0.437250426,E
308.809998,324.73999,308.5,322.690002,6996200,322.690002,7/17/2018,TSLA,0.040599793,0.040599793,-1.611500953,D
325,325.5,316.25,323.850006,5624200,323.850006,7/18/2018,TSLA,0.003594794,0.003594794,-0.971169141,D
316.329987,323.540009,314.01001,320.230011,5915300,320.230011,7/19/2018,TSLA,-0.011177999,-0.011177999,-0.880946926,D
321.230011,323.23999,311.709991,313.579987,5162200,313.579987,7/20/2018,TSLA,-0.020766398,-0.020766398,-1.077305047,D
301.839996,305.5,292.859985,303.200012,10992900,303.200012,7/23/2018,TSLA,-0.033101523,-0.033101523,-0.867043305,D
304.420013,307.720001,292.549988,297.429993,9590800,297.429993,7/24/2018,TSLA,-0.019030405,-0.019030405,0.047379284,E
296.73999,309.619995,294.5,308.73999,7075400,308.73999,7/25/2018,TSLA,0.038025745,0.038025745,-0.526163488,E
304.850006,310.700012,303.640015,306.649994,4630500,306.649994,7/26/2018,TSLA,-0.006769437,-0.006769437,2.793349187,U
307.25,307.690002,295.339996,297.179993,5703300,297.179993,7/27/2018,TSLA,-0.030882117,-0.030882117,3.247702954,U
295.899994,296.100006,286.130005,290.170013,6814100,290.170013,7/30/2018,TSLA,-0.023588331,-0.023588331,3.223888391,U
292.25,298.320007,289.070007,298.140015,5076900,298.140015,7/31/2018,TSLA,0.027466663,0.027466663,4.841619668,U
297.98999,303,293,300.839996,10129400,300.839996,8/1/2018,TSLA,0.009056084,0.009056084,3.989571602,U
328.440002,349.98999,323.160004,349.540009,23215000,349.540009,8/2/2018,TSLA,0.161880115,0.161880115,0.16302081,E
347.809998,355,342.529999,348.170013,13656500,348.170013,8/3/2018,TSLA,-0.003919425,-0.003919425,0.408935357,E
345.459991,354.980011,341.820007,341.98999,8564300,341.98999,8/6/2018,TSLA,-0.017750015,-0.017750015,0.802505127,U
343.839996,387.459991,339.149994,379.570007,30875800,379.570007,8/7/2018,TSLA,0.109886307,0.109886307,-1.772329431,D
369.089996,382.640015,367.119995,370.339996,24571200,370.339996,8/8/2018,TSLA,-0.024317019,-0.024317019,-1.79064754,D
365.549988,367.01001,345.730011,352.450012,17103700,352.450012,8/9/2018,TSLA,-0.048306918,-0.048306918,-0.977887268,D
354,360,346,355.48999,11552000,355.48999,8/10/2018,TSLA,0.008625274,0.008625274,-2.94177009,D
361.130005,363.190002,349.019989,356.410004,10450200,356.410004,8/13/2018,TSLA,0.002588017,0.002588017,-2.889570529,D
358.450012,359.200012,347.100006,347.640015,6986400,347.640015,8/14/2018,TSLA,-0.024606461,-0.024606461,-1.577835576,D
341.910004,344.48999,332.140015,338.690002,9101300,338.690002,8/15/2018,TSLA,-0.02574506,-0.02574506,-1.059213724,D
339.910004,342.279999,333.820007,335.450012,6064000,335.450012,8/16/2018,TSLA,-0.00956624,-0.00956624,-0.962870782,D
